name,star,pull command,version,dockerfilelink
redmine,986,docker pull redmine,"4.2.1, 4.2, 4, latest",https://github.com/docker-library/redmine/blob/7736d321ea194e82731f0fa79b8a91f053e36aa2/4.2/Dockerfile
redmine,986,docker pull redmine,"4.2.1-passenger, 4.2-passenger, 4-passenger, passenger",https://github.com/docker-library/redmine/blob/95a653cf645264889ba03008751fb36a9824ea13/4.2/passenger/Dockerfile
redmine,986,docker pull redmine,"4.2.1-alpine, 4.2-alpine, 4-alpine, alpine",https://github.com/docker-library/redmine/blob/02809f9dead7b26e490f84107c7a2170f11fd2b9/4.2/alpine/Dockerfile
redmine,986,docker pull redmine,"4.1.3, 4.1",https://github.com/docker-library/redmine/blob/7736d321ea194e82731f0fa79b8a91f053e36aa2/4.1/Dockerfile
redmine,986,docker pull redmine,"4.1.3-passenger, 4.1-passenger",https://github.com/docker-library/redmine/blob/95a653cf645264889ba03008751fb36a9824ea13/4.1/passenger/Dockerfile
redmine,986,docker pull redmine,"4.1.3-alpine, 4.1-alpine",https://github.com/docker-library/redmine/blob/02809f9dead7b26e490f84107c7a2170f11fd2b9/4.1/alpine/Dockerfile
redmine,986,docker pull redmine,"4.0.9, 4.0",https://github.com/docker-library/redmine/blob/02809f9dead7b26e490f84107c7a2170f11fd2b9/4.0/Dockerfile
redmine,986,docker pull redmine,"4.0.9-passenger, 4.0-passenger",https://github.com/docker-library/redmine/blob/95a653cf645264889ba03008751fb36a9824ea13/4.0/passenger/Dockerfile
redmine,986,docker pull redmine,"4.0.9-alpine, 4.0-alpine",https://github.com/docker-library/redmine/blob/02809f9dead7b26e490f84107c7a2170f11fd2b9/4.0/alpine/Dockerfile
jruby,101,docker pull jruby,"latest, 9, 9.2, 9.2.19, 9.2-jre, 9.2-jre8, 9.2.19-jre, 9.2.19-jre8, 9.2.19.0, 9.2.19.0-jre, 9.2.19.0-jre8",https://github.com/jruby/docker-jruby/blob/c77be8629e90e0782a41c0ffeb810f02fbf0afc4/9000/jre8/Dockerfile
jruby,101,docker pull jruby,"9-jdk, 9-jdk8, 9.2-jdk, 9.2-jdk8, 9.2.19-jdk, 9.2.19-jdk8, 9.2.19.0-jdk, 9.2.19.0-jdk8",https://github.com/jruby/docker-jruby/blob/c77be8629e90e0782a41c0ffeb810f02fbf0afc4/9000/jdk8/Dockerfile
